Date,Open,High,Low,Close,Adj Close,Volume
2023-12-21,3950.000000,4009.899902,3920.050049,3954.500000,3954.500000,286850
2023-12-22,3977.949951,4015.000000,3962.050049,4007.949951,4007.949951,224831
2023-12-26,4009.949951,4038.199951,3995.350098,4023.449951,4023.449951,299135
2023-12-27,4020.000000,4063.300049,4000.000000,4027.449951,4027.449951,349033
2023-12-28,4048.899902,4058.399902,4015.000000,4044.649902,4044.649902,403866
2023-12-29,4045.100098,4098.899902,3984.199951,4082.649902,4082.649902,224994
2024-01-01,4075.000000,4080.000000,4042.100098,4064.750000,4064.750000,131614
2024-01-02,4070.000000,4155.000000,4006.250000,4103.350098,4103.350098,843252
2024-01-03,4080.000000,4080.000000,3919.399902,3932.350098,3932.350098,964470
2024-01-04,3965.000000,3965.000000,3888.000000,3897.850098,3897.850098,754490
2024-01-05,3902.000000,3940.000000,3810.000000,3863.500000,3863.500000,513823
2024-01-08,3893.949951,3919.899902,3791.000000,3804.399902,3804.399902,692896
2024-01-09,3810.100098,3850.000000,3787.000000,3810.750000,3810.750000,440688
2024-01-10,3818.899902,3837.949951,3792.350098,3822.000000,3822.000000,338253
2024-01-11,3845.000000,3845.000000,3805.000000,3821.350098,3821.350098,213492
2024-01-12,3827.949951,3848.000000,3794.100098,3841.000000,3841.000000,456627
2024-01-15,3924.949951,3933.000000,3851.000000,3858.250000,3858.250000,505101
2024-01-16,3860.000000,3865.000000,3807.000000,3828.300049,3828.300049,445672
2024-01-17,3750.000000,3811.899902,3750.000000,3786.449951,3786.449951,516399
2024-01-18,3786.449951,3790.000000,3740.000000,3748.850098,3748.850098,489754
2024-01-19,3762.949951,3768.699951,3704.500000,3731.699951,3731.699951,565533
2024-01-23,3675.000000,3714.000000,3651.050049,3675.899902,3675.899902,299750
2024-01-24,3675.899902,3748.000000,3646.050049,3727.750000,3727.750000,316651
2024-01-25,3731.000000,3750.000000,3695.500000,3734.250000,3734.250000,200269
2024-01-29,3700.000000,3764.199951,3689.000000,3749.399902,3749.399902,216522
2024-01-30,3740.000000,3772.850098,3680.000000,3687.300049,3687.300049,263265
2024-01-31,3680.000000,3821.399902,3652.750000,3792.699951,3792.699951,353880
2024-02-01,3810.000000,3826.600098,3772.000000,3808.199951,3808.199951,188297
2024-02-02,3808.199951,3815.000000,3770.000000,3784.300049,3784.300049,186318
2024-02-05,3785.000000,3791.550049,3720.050049,3729.600098,3729.600098,216052
2024-02-06,3730.000000,3737.699951,3702.050049,3727.399902,3727.399902,148110
2024-02-07,3759.000000,3785.000000,3703.000000,3717.699951,3717.699951,173087
2024-02-08,3718.949951,3787.949951,3715.000000,3731.050049,3731.050049,261689
2024-02-09,3732.149902,3758.000000,3699.000000,3719.199951,3719.199951,306425
2024-02-12,3719.199951,3734.949951,3644.300049,3675.600098,3675.600098,199148
2024-02-13,3685.050049,3728.000000,3660.899902,3703.199951,3703.199951,294135
2024-02-14,3700.000000,3739.000000,3691.050049,3722.399902,3722.399902,257694
2024-02-15,3722.399902,3729.949951,3671.350098,3678.600098,3678.600098,507420
2024-02-16,3698.600098,3724.649902,3665.100098,3693.300049,3693.300049,726598
2024-02-19,3673.300049,3722.000000,3673.300049,3707.250000,3707.250000,226669
2024-02-20,3701.000000,3784.000000,3691.399902,3756.199951,3756.199951,316518
2024-02-21,3752.000000,3889.000000,3752.000000,3835.750000,3835.750000,592509
2024-02-22,3860.000000,3869.000000,3801.850098,3851.449951,3851.449951,237411
2024-02-23,3860.000000,3872.000000,3828.649902,3840.550049,3840.550049,226731
2024-02-26,3840.550049,3859.000000,3796.250000,3850.350098,3850.350098,346646
2024-02-27,3859.000000,3885.000000,3818.050049,3852.199951,3852.199951,256237
2024-02-28,3856.399902,3948.300049,3838.100098,3850.000000,3850.000000,505405
2024-02-29,3818.399902,3940.000000,3797.050049,3918.899902,3918.899902,499782
2024-03-01,3925.000000,3936.750000,3867.000000,3884.149902,3884.149902,261674
2024-03-04,3870.949951,3878.649902,3831.000000,3846.350098,3846.350098,153055
2024-03-05,3830.000000,3884.350098,3811.300049,3834.500000,3834.500000,185829
2024-03-06,3834.500000,3895.000000,3825.149902,3888.649902,3888.649902,308886
2024-03-07,3888.649902,3942.649902,3877.199951,3925.949951,3925.949951,330459
2024-03-11,3948.850098,4025.000000,3936.050049,3979.649902,3979.649902,689781
2024-03-12,3999.000000,4042.000000,3900.000000,4031.699951,4031.699951,499999
2024-03-13,4055.000000,4056.000000,3932.050049,3967.800049,3967.800049,521699
2024-03-14,3966.949951,4040.000000,3890.000000,4019.250000,4019.250000,355226
2024-03-15,4019.449951,4035.000000,3904.000000,3932.100098,3932.100098,348203
2024-03-18,3932.100098,4019.000000,3918.699951,4010.550049,4010.550049,230448
2024-03-19,4008.000000,4046.050049,3983.050049,4014.100098,4014.100098,451330
2024-03-20,4015.000000,4068.000000,4009.250000,4056.350098,4056.350098,346426
2024-03-21,4117.000000,4238.000000,4091.500000,4163.100098,4163.100098,1130832
2024-03-22,4159.799805,4330.500000,4151.149902,4297.600098,4297.600098,921652
2024-03-26,4315.750000,4509.450195,4297.250000,4486.200195,4486.200195,1838678
2024-03-27,4480.500000,4533.000000,4387.049805,4420.549805,4420.549805,814043
2024-03-28,4424.950195,4560.000000,4397.049805,4525.600098,4525.600098,892567
2024-04-01,4570.000000,4592.000000,4456.299805,4483.299805,4483.299805,410983
2024-04-02,4503.000000,4563.000000,4400.049805,4411.850098,4411.850098,442907
2024-04-03,4455.000000,4494.450195,4415.000000,4460.899902,4460.899902,257333
2024-04-04,4562.000000,4715.000000,4540.000000,4645.049805,4645.049805,1564457
2024-04-05,4645.000000,4685.000000,4557.000000,4619.250000,4619.250000,418022
2024-04-08,4648.149902,4748.000000,4640.000000,4672.799805,4672.799805,461322
2024-04-09,4671.950195,4747.799805,4622.000000,4716.149902,4716.149902,285672
2024-04-10,4736.600098,4831.850098,4711.000000,4754.000000,4754.000000,728446
2024-04-12,4753.899902,4806.750000,4725.000000,4765.049805,4765.049805,676863
2024-04-15,4680.000000,4736.549805,4620.600098,4686.799805,4686.799805,358707
2024-04-16,4650.000000,4689.299805,4611.350098,4644.299805,4644.299805,245231
2024-04-18,4644.299805,4694.299805,4605.000000,4627.100098,4627.100098,417772
2024-04-19,4766.950195,4836.700195,4651.100098,4696.000000,4696.000000,778084
2024-04-22,4743.000000,4815.950195,4692.049805,4758.000000,4758.000000,257706
2024-04-23,4804.500000,4890.000000,4773.000000,4800.549805,4800.549805,458148
2024-04-24,4820.000000,4835.700195,4778.000000,4797.549805,4797.549805,199877
2024-04-25,4801.000000,4817.649902,4615.149902,4657.100098,4657.100098,462020
2024-04-26,4657.049805,4719.950195,4531.500000,4553.149902,4553.149902,254510
2024-04-29,4560.500000,4562.450195,4450.000000,4483.799805,4483.799805,385596
2024-04-30,4455.149902,4650.000000,4455.149902,4603.799805,4603.799805,637696
2024-05-02,4609.950195,4642.450195,4578.000000,4605.049805,4605.049805,256067
